,AcouOccupancyR,Bioac,Hf,Ht,H,ACI,AEI,M,NDSI,ADI,NPIC,ASA,BN,SNR,AA,CAE,ADAE,RMS,NA,wav
1,0.000984058,39.6565576,0.960846595,0.964082771,0.926335648,1765.567335,0.954545,6.27E-12,-0.991197596,0,0,0.510581629,0.003703704,1,0.868529817,1,0.2162237,3711.595863,-790.1859078,irie/015106_20150518_000000.wav
2,0.006101161,40.13365732,0.955307291,0.962262133,0.919256031,1771.316197,0.954545,5.85E-12,-0.992325416,0,0,0.546581917,0.003703704,1,0.888210982,1,0.215783288,4630.519752,-2248.234681,irie/015106_20150518_010000.wav
3,0.000984058,38.18727115,0.966678838,0.968264613,0.936000911,1677.454914,0.954545,7.45E-12,-0.956691644,0,1,0.113547324,0.003703704,0.714623707,0.379452864,1,0.073295311,792.839862,-222.3152603,irie/015106_20150518_020000.wav
4,0.000787247,37.5757134,0.970485126,0.967433049,0.938879384,1700.243457,0.954545,8.13E-12,-0.97667267,0,0,0.230585515,0.003703704,0.7206005,0.633143082,1,0.088663564,1160.45334,-220.0878331,irie/015106_20150518_030000.wav
5,0.003739421,37.40829695,0.963030009,0.966692364,0.930953756,1705.905343,0.954545,6.72E-12,-0.979330991,0,1,0.221896391,0.003703704,0.731946458,0.539460736,1,0.101356945,1213.460401,-644.803122,irie/015106_20150518_040000.wav
6,0.000196812,40.13160649,0.975162954,0.968676625,0.94461756,1724.373342,0.954492,8.93E-12,-0.866689558,0.004987,3,0,0.003703704,0.477673119,0.042708128,0.035714286,0.088235828,284.7920195,-98.32099491,irie/015106_20150518_050000.wav
7,0.016335367,50.42249344,0.971276296,0.963847002,0.936161746,1785.872154,0.93437,8.24E-12,-0.715673721,0.509984,11,0.027120519,0.003703704,0.449875749,0.208817162,0.642857143,0.066821869,534.489067,-150.4680599,irie/015106_20150518_060000.wav
8,0.010431018,48.23794687,0.976028181,0.965864135,0.942710614,1740.665455,0.953539,8.98E-12,-0.934168585,0.046793,9,0.064976348,0.003703704,0.44255392,0.294233419,0.735714286,0.052977566,572.1221293,-132.2136833,irie/015106_20150518_070000.wav
9,0.114544381,51.8185829,0.920551918,0.944002628,0.86900343,2195.970567,0.76747,4.37E-12,0.821376353,1.769016,11,0.351875454,0.003703704,0.949025969,0.523715804,1,0.115763252,3453.459047,-1633.411772,irie/015106_20150518_080000.wav
10,0.010824641,77.06519821,0.956144654,0.979119532,0.936179906,1719.080778,0.878925,7.93E-12,0.759174446,1.075679,24,0.107809795,0.003703704,1,0.320409368,0.764285714,0.06835781,1314.178255,-637.6836047,irie/015106_20150518_090000.wav
11,0.021255658,52.02632845,0.967942725,0.95571939,0.92508163,1782.790489,0.865884,7.84E-12,0.593311234,1.227926,15,0.494119893,0.003703704,1,0.950009841,1,0.205915848,3355.081213,-1225.207085,irie/015106_20150518_100000.wav
12,0.004329856,42.57254752,0.97090119,0.966380143,0.938259631,1679.608414,0.954545,8.13E-12,-0.976692709,0,0,0.203056296,0.003703704,0.616130368,0.584136981,1,0.088069971,1042.541702,-216.1628159,irie/015106_20150518_110000.wav
13,0.070064948,71.50366556,0.968896394,0.960848237,0.930962392,2112.164713,0.867133,7.68E-12,0.395636424,1.306019,14,0.537978979,0.003703704,0.993466245,0.950009841,1,0.273472009,3786.278168,575.7061141,irie/015106_20150518_120000.wav
14,0.001574493,57.99102638,0.967895359,0.965981666,0.934969171,1691.890955,0.954408,7.54E-12,-0.898953497,0.0113,9,0.294915179,0.003703704,0.827086851,0.724857312,1,0.10500883,1539.480011,-346.8767527,irie/015106_20150518_130000.wav
15,0.002558551,42.57759731,0.965319625,0.962947598,0.929552215,1754.292053,0.954545,7.13E-12,-0.986907035,0,0,0.440203811,0.003703704,0.902586568,0.846880535,1,0.184537534,2708.108798,-98.12144986,irie/015106_20150518_140000.wav
16,0.000787247,42.94502356,0.970463582,0.962694989,0.934260428,1823.098357,0.954545,7.96E-12,-0.98896491,0,2,0.529410725,0.003703704,0.960064567,0.945286361,1,0.252075828,3553.147613,-745.4535541,irie/015106_20150518_150000.wav
17,0.002164928,49.73858748,0.969275887,0.963421125,0.933820866,1763.159283,0.948767,7.78E-12,-0.904961778,0.205642,7,0.391845551,0.003703704,0.884806745,0.846486912,1,0.135387316,2165.991646,-471.5622842,irie/015106_20150518_160000.wav
18,0.069474513,58.97392852,0.961314159,0.956071283,0.919084861,1754.545263,0.807688,6.90E-12,0.773284529,1.651032,17,0.417682439,0.003703704,0.969809977,0.831726038,1,0.143173039,2744.676242,-380.8905506,irie/015106_20150518_170000.wav
19,0.001377682,41.26878574,0.960107179,0.96576298,0.92723597,1694.335445,0.954545,6.49E-12,-0.973877814,0,3,0.213594208,0.003703704,0.820297949,0.4898642,1,0.105826196,1253.181785,-295.2255133,irie/015106_20150518_180000.wav
20,0.035819721,61.4621329,0.951777588,0.958629467,0.912402042,1843.748112,0.807411,5.94E-12,0.794603433,1.67308,14,0.316768618,0.003703704,1,0.621531195,1,0.118547461,2160.945068,-598.4140299,irie/015106_20150518_190000.wav
21,0.00118087,40.71174509,0.974143424,0.96687487,0.941874796,1700.720577,0.954545,8.59E-12,-0.961139117,0,1,0.177470592,0.003703704,0.613718456,0.568195237,1,0.068346831,900.2348369,-259.7949004,irie/015106_20150518_200000.wav
22,0.095060028,64.5892311,0.964535985,0.965472096,0.931232579,1981.538935,0.846287,7.23E-12,0.675881322,1.490745,10,0.421054994,0.003703704,0.977925097,0.853965755,1,0.151275534,2666.171352,-698.9686688,irie/015106_20150518_210000.wav
23,0.002755363,38.81291573,0.969530237,0.966293503,0.93685077,1711.695662,0.954545,7.75E-12,-0.817476975,0,1,0.030051888,0.003703704,0.462525935,0.254477465,0.707142857,0.064499874,543.5597161,-343.880659,irie/015106_20150518_220000.wav
24,0.00118087,39.7266451,0.961486555,0.966465922,0.929243989,1691.862083,0.954545,6.55E-12,-0.849812321,0,1,0.013538664,0.003703704,0.597060851,0.226530211,0.621428571,0.090477754,569.5707187,-373.7770448,irie/015106_20150518_230000.wav
25,0.000787247,35.60976325,0.976375878,0.970989126,0.94805036,1670.049419,0.954545,9.16E-12,-0.820147733,0,1,0,0.003703704,0.193308993,0.014564062,0.007142857,0.023219955,194.7030146,-77.39081193,CivilWar/015106_20150519_000000.wav
26,0.012202322,39.3884508,0.943362373,0.961128455,0.90669242,1801.319967,0.954545,4.52E-12,-0.989705679,0,1,0.529175427,0.003703704,1,0.755953552,1,0.240790079,4853.423627,-3118.530228,CivilWar/015106_20150519_010000.wav
27,0.002164928,37.6381741,0.972778174,0.970445226,0.944027935,1683.711232,0.954545,8.77E-12,-0.872973089,0,1,0,0.003703704,0.394233308,0.042708128,0.092857143,0.085735217,294.1969758,-142.0345887,CivilWar/015106_20150519_020000.wav
28,0.001377682,37.6608822,0.966225287,0.964132728,0.931569422,1780.298544,0.954545,7.23E-12,-0.991186764,0,0,0.48262951,0.003703704,0.934773367,0.85219445,1,0.244338854,3116.126253,-2212.389947,CivilWar/015106_20150519_030000.wav
29,0.052548711,34.87442198,0.980353174,0.969347409,0.950302809,1649.917294,0.954538,9.82E-12,-0.962076917,0.000818,0,0,0.003703704,0.172459069,0.046644361,0,0,321.197396,-85.96272242,CivilWar/015106_20150519_040000.wav
30,0.00118087,36.17813262,0.979965329,0.966878484,0.947507392,1646.747615,0.954545,9.73E-12,-0.963258679,0,1,0,0.003703704,0.318475996,0.150364102,0.085714286,0.044504913,411.4692011,-130.5104847,CivilWar/015106_20150519_050000.wav
31,0.06199567,47.67521218,0.979216362,0.966351309,0.946267013,1776.240808,0.939607,9.58E-12,-0.873025474,0.42548,9,0,0.003703704,0.270589571,0.135406416,0.157142857,0.031663575,412.6558471,-142.2113361,CivilWar/015106_20150519_060000.wav
32,0.028144066,55.77835875,0.973147265,0.960644501,0.934848569,1753.512469,0.945312,8.66E-12,-0.545474372,0.268866,13,0.151665211,0.003703704,0.669362101,0.490257823,1,0.077707689,843.2859547,-345.574171,CivilWar/015106_20150519_070000.wav
33,0.000196812,43.86789197,0.964578084,0.96310039,0.928985529,1710.42626,0.954545,7.16E-12,-0.973102945,0,5,0.28119768,0.003703704,0.8967988,0.653611494,1,0.117303247,1542.122329,-812.8985976,CivilWar/015106_20150519_080000.wav
34,0.006691596,45.72227103,0.964577259,0.959868388,0.925867219,1811.177479,0.954545,6.90E-12,-0.98648562,0,5,0.647918833,0.003703704,1,0.961424916,1,0.379023822,5966.682045,-4326.397862,CivilWar/015106_20150519_090000.wav
35,0.001771305,42.77513902,0.963724627,0.962342982,0.927433631,1700.451686,0.954545,7.22E-12,-0.978133749,0,2,0.325745621,0.003703704,0.8864213,0.748868333,1,0.10321784,1862.425545,-1219.918204,CivilWar/015106_20150519_100000.wav
36,0.026372761,38.27560379,0.956487455,0.959794153,0.918031067,1858.798313,0.954545,5.66E-12,-0.992438329,0,0,0.693683431,0.003703704,1,0.937807518,1,0.404662287,7647.881754,-5843.011992,CivilWar/015106_20150519_110000.wav
37,0.010431018,40.01263899,0.926194647,0.96123597,0.89029161,1697.888308,0.954545,3.14E-12,-0.988798228,0,0,0.458006128,0.003703704,1,0.523715804,0.978571429,0.290334177,4426.496788,-2650.200649,CivilWar/015106_20150519_120000.wav
38,0.003936233,40.33846725,0.957302585,0.960635322,0.919618677,1688.213799,0.954545,6.42E-12,-0.981361472,0,1,0.282811214,0.003703704,0.800833421,0.587482779,1,0.121648659,1704.32748,-1035.841256,CivilWar/015106_20150519_130000.wav
39,0.001771305,38.40225763,0.968268401,0.962746469,0.932196985,1729.294029,0.954545,7.69E-12,-0.99089278,0,1,0.453911959,0.003703704,1,0.878567211,1,0.206819596,2773.991413,-1663.67134,CivilWar/015106_20150519_140000.wav
40,0.00118087,44.64163433,0.954195145,0.958434832,0.914533863,1733.248926,0.954545,5.91E-12,-0.986216614,0,2,0.416997474,0.003703704,1,0.802401102,1,0.157517389,2934.101717,-2026.469002,CivilWar/015106_20150519_150000.wav
41,0.006691596,38.08693922,0.956494078,0.959924255,0.918161865,1755.577306,0.954545,6.12E-12,-0.990489661,0,0,0.56841599,0.003703704,1,0.87246605,1,0.296296296,4922.612833,-2268.082701,CivilWar/015106_20150519_160000.wav
42,0.010037394,38.64247229,0.964978369,0.961904083,0.928216634,1856.568548,0.954545,6.99E-12,-0.992406727,0,0,0.665296624,0.003703704,1,0.965754773,1,0.471365079,6358.493104,-4758.547511,CivilWar/015106_20150519_170000.wav
43,0.000393623,39.4447406,0.958031957,0.963012798,0.922597036,1713.411744,0.954545,6.08E-12,-0.983677218,0,1,0.357611515,0.003703704,0.963662449,0.664632946,1,0.179067775,2184.989564,-1492.163688,CivilWar/015106_20150519_180000.wav
44,0.003936233,41.68002199,0.967837062,0.963403862,0.932417963,1760.904019,0.954545,7.37E-12,-0.985742891,0,1,0.4414566,0.003703704,0.841206751,0.869513875,1,0.199143793,2640.618186,-1875.967561,CivilWar/015106_20150519_190000.wav
45,0.01672899,65.44309569,0.958572581,0.956072772,0.916465144,1781.816496,0.857841,6.83E-12,0.630724783,1.346753,16,0.204190114,0.003703704,0.852461176,0.480810864,1,0.115085309,1315.115617,-708.286423,CivilWar/015106_20150519_200000.wav
46,0.000984058,39.65008525,0.960474619,0.966620307,0.928414271,1678.791161,0.954545,6.47E-12,-0.964411429,0,2,0.160614383,0.003703704,0.727361805,0.396378666,1,0.106652439,1013.603402,-645.9545653,CivilWar/015106_20150519_210000.wav
47,0.003148986,36.33004997,0.974216014,0.964578293,0.93970762,1650.621482,0.954483,8.77E-12,-0.933451813,0.005681,1,0,0.003703704,0.372172216,0.111789018,0.285714286,0.059210884,394.8487845,2.842579973,CivilWar/015106_20150519_220000.wav
48,0.000590435,36.55906081,0.958129532,0.964604426,0.924215987,1685.338981,0.954545,6.43E-12,-0.985362582,0,1,0.248390547,0.003703704,0.984506206,0.55304074,1,0.098206749,1521.576616,-619.0684689,CivilWar/015106_20150519_230000.wav
49,0.000787247,36.16224006,0.962277324,0.968373185,0.931843557,1663.136552,0.954545,7.10E-12,-0.948523893,0,1,0.074299675,0.003703704,0.791524318,0.277307617,0.935714286,0.083485486,754.7350402,-356.5970278,CivilWar/015106_20150520_000000.wav
50,0.002164928,35.06428287,0.974350222,0.972052539,0.947119608,1675.26456,0.954545,8.91E-12,-0.900231787,0,1,0,0.003703704,0.314869457,0.04526668,0.135714286,0.052550424,291.4690362,-106.5610376,CivilWar/015106_20150520_010000.wav
51,0.012989569,32.44208917,0.980411531,0.973279511,0.954214456,1652.570165,0.954448,9.78E-12,-0.860239387,0.007413,1,0,0,0,0,0,0,167.7977812,-46.99089587,CivilWar/015106_20150520_020000.wav
52,0.000590435,32.28026429,0.973591997,0.971280911,0.945631322,1650.29351,0.954545,8.52E-12,-0.895056097,0,0,0,0.003703704,0.36424105,0.098405826,0.185714286,0.05001221,351.6083128,-139.1948339,CivilWar/015106_20150520_030000.wav
53,0.001574493,32.66571612,0.975925804,0.969976873,0.94662546,1649.586694,0.954545,8.85E-12,-0.968544764,0,1,0,0.003703704,0.354386523,0.121235977,0.15,0.056391318,388.5668427,-165.6935491,CivilWar/015106_20150520_040000.wav
54,0.001771305,34.10189865,0.973434732,0.962667561,0.937094039,1653.340285,0.954545,8.58E-12,-0.98229406,0,1,0.116013696,0.003703704,0.584561826,0.411139539,1,0.062000926,726.4452635,-313.9823766,CivilWar/015106_20150520_050000.wav
55,0.000787247,42.6156165,0.972655202,0.967384817,0.940931874,1745.384272,0.954545,8.57E-12,-0.943928657,0,5,0.109403279,0.003703704,0.723342641,0.387128518,1,0.059952086,730.4226931,-148.1829901,CivilWar/015106_20150520_060000.wav
56,0.073213934,51.52339163,0.924841661,0.949625164,0.878252914,2020.843865,0.780109,5.09E-12,0.792984762,1.766431,11,0.29525883,0.003703704,0.954467307,0.493603621,1,0.094252427,2893.477057,-1384.391804,CivilWar/015106_20150520_070000.wav
57,0.167683527,43.19652817,0.976439506,0.960404385,0.937776783,1686.587579,0.94582,9.11E-12,-0.645045794,0.325084,7,0.148181857,0.003703704,0.599248372,0.55185987,1,0.051599899,779.2829669,-152.9001256,CivilWar/015106_20150520_080000.wav
58,0.000590435,44.00404626,0.975939359,0.967081877,0.943813267,1714.614806,0.954545,9.51E-12,-0.947380711,0,6,0.03767164,0.003703704,0.831797381,0.219641803,0.092857143,0.057156811,576.633389,-176.1974817,CivilWar/015106_20150520_090000.wav
59,0.00118087,42.29163863,0.968848023,0.964306749,0.934266687,1686.620287,0.954545,8.11E-12,-0.970758807,0,2,0.216680179,0.003703704,0.770566117,0.613068294,1,0.066224583,1164.789538,260.6361743,CivilWar/015106_20150520_100000.wav
60,0.00236174,41.71121473,0.975228591,0.961706952,0.937884117,1668.42793,0.954413,8.86E-12,-0.957529792,0.00874,3,0.188225003,0.003703704,0.566066289,0.607557567,1,0.061290612,926.1190805,-202.767886,CivilWar/015106_20150520_110000.wav
61,0.003936233,48.97277031,0.965099904,0.9611732,0.927628163,1695.09168,0.952227,7.21E-12,-0.908821566,0.110566,5,0.357027267,0.003703704,0.917350608,0.801220232,1,0.116149601,2021.864711,2934.649701,CivilWar/015106_20150520_120000.wav
62,0.00236174,39.96645374,0.968820518,0.963774598,0.933724605,1682.776708,0.954511,7.95E-12,-0.972859403,0.003399,1,0.230894513,0.003703704,0.714292779,0.631371777,1,0.073647129,1212.316982,964.6744893,CivilWar/015106_20150520_130000.wav
63,0.000590435,40.79688988,0.979060282,0.965552563,0.945334165,1712.859675,0.954392,9.53E-12,-0.965240866,0.010105,4,0.071337163,0.003703704,0.479760477,0.34678213,0.607142857,0.03496652,560.4108494,255.9181802,CivilWar/015106_20150520_140000.wav
64,0.00118087,40.78594241,0.975450757,0.964842406,0.941156255,1703.022657,0.954545,8.91E-12,-0.978368589,0,1,0.246563642,0.003703704,0.661154112,0.74965558,1,0.066515046,1155.235538,961.6779971,CivilWar/015106_20150520_150000.wav
65,0.000787247,56.35860293,0.968775577,0.964584118,0.934465535,1757.153906,0.949493,7.88E-12,-0.734627501,0.168886,21,0.313225876,0.003703704,0.844018956,0.789805156,1,0.093108361,1645.628849,1447.331672,CivilWar/015106_20150520_160000.wav
66,0.001771305,39.74328987,0.971374153,0.963790225,0.936200913,1722.79506,0.954545,8.10E-12,-0.981746801,0,1,0.329392097,0.003703704,0.761800142,0.801613856,1,0.108237175,1659.35968,-515.0617632,CivilWar/015106_20150520_170000.wav
67,0.012202322,69.88998381,0.963308119,0.956732973,0.921628641,1777.75323,0.90787,7.06E-12,0.144295612,0.814606,14,0.392137268,0.003703704,0.937137982,0.829167487,1,0.117039309,2380.598486,-841.6501338,CivilWar/015106_20150520_180000.wav
68,0.00236174,38.37597525,0.974950036,0.964220712,0.940067018,1657.418808,0.954545,8.96E-12,-0.968658116,0,1,0.106652966,0.003703704,0.55880664,0.395394607,0.992857143,0.061140312,690.5586312,-168.8833255,CivilWar/015106_20150520_190000.wav
69,0.084038575,41.04129818,0.980721949,0.965848867,0.947229182,1662.477785,0.941088,9.85E-12,-0.918938438,0.342661,6,0,0.003703704,0.139722057,0.066128715,0,0,351.4464395,-86.60793741,CivilWar/015106_20150520_200000.wav
70,0.094666404,47.14966043,0.980874172,0.965783815,0.9473124,1748.225497,0.885956,9.92E-12,-0.894933403,1.110465,6,0,0.003703704,0.193722951,0.128518008,0.014285714,0.023219955,401.2900074,-108.0533268,CivilWar/015106_20150520_210000.wav
