,AcouOccupancyR,Bioac,Hf,Ht,H,ACI,AEI,M,NDSI,ADI,NPIC,ASA,BN,SNR,AA,CAE,ADAE,RMS,NA,wav
144,0.788230663,37.23211525,0.980962303,0.967848641,0.949423033,1681.959465,0.914536,9.96E-12,-0.794996541,0.858249,5,0,0,0,0,0,0,116.5851598,-31.35404522,CivilWar/015106_20150523_230000.wav
145,0.409761858,35.30795003,0.980141989,0.969912383,0.950651853,1649.333826,0.947742,9.70E-12,-0.886958791,0.266403,1,0,0,0,0,0,0,118.1339263,-33.63554999,CivilWar/015106_20150524_000000.wav
146,0.199370203,34.7126668,0.980691202,0.971974818,0.953207153,1652.21021,0.948057,9.81E-12,-0.836033042,0.257706,1,0,0,0,0,0,0,108.3468097,-30.63134854,CivilWar/015106_20150524_010000.wav
147,0.462113757,34.39917841,0.980299214,0.971549513,0.952409224,1662.337378,0.943671,9.70E-12,-0.847491663,0.363986,2,0,0,0,0,0,0,101.0343593,-29.11102438,CivilWar/015106_20150524_020000.wav
148,0.324345601,37.80287741,0.980813047,0.972955666,0.954287612,1709.425214,0.909545,9.87E-12,-0.868530308,0.568285,2,0,0,0,0,0,0,122.5795546,-30.71207056,CivilWar/015106_20150524_030000.wav
149,0.061405235,34.0289358,0.980830077,0.972976897,0.954325005,1656.329437,0.948217,9.89E-12,-0.79110175,0.208506,1,0,0,0,0,0,0,101.2611264,-27.88780042,CivilWar/015106_20150524_040000.wav
150,0.19307223,35.69333499,0.980567611,0.971496077,0.952617588,1684.936086,0.946772,9.84E-12,-0.848880068,0.242552,3,0,0,0,0,0,0,114.2412691,-30.89499798,CivilWar/015106_20150524_050000.wav
151,0.274945877,46.56655622,0.977242288,0.964355513,0.942408988,1715.557084,0.922936,9.29E-12,0.074472431,0.750083,10,0,0.003703704,0.129201598,0.012399134,0,0,178.4517284,-12.83831361,CivilWar/015106_20150524_060000.wav
152,0.497539854,46.89383828,0.979999166,0.966102348,0.946779496,1720.521732,0.89117,9.69E-12,-0.763018895,1.019209,11,0,0,0.02762007,0.000196812,0,0,207.4711036,-47.42912471,CivilWar/015106_20150524_070000.wav
153,0.007478843,44.86546187,0.978260221,0.966621909,0.945607762,1709.678057,0.94674,9.49E-12,-0.840073312,0.249448,7,0,0.003703704,0.342978448,0.018697107,0.021428571,0.069659864,252.6027313,191.6963593,CivilWar/015106_20150524_080000.wav
154,0.075772486,41.55383879,0.979703384,0.966757714,0.947135804,1681.141578,0.946615,9.65E-12,-0.924712182,0.263556,4,0,0.003703704,0.137402591,0.012005511,0,0,266.6085565,93.77715628,CivilWar/015106_20150524_090000.wav
155,0.018500295,43.37089413,0.97981252,0.967177833,0.94765295,1690.54221,0.945812,9.72E-12,-0.920901846,0.208347,6,0,0.003703704,0.219091308,0.02499508,0.014285714,0.034829932,291.0350572,78.46113407,CivilWar/015106_20150524_100000.wav
156,0.000393623,36.98121575,0.964533204,0.965547209,0.931302343,1746.201031,0.954545,7.17E-12,-0.988402657,0,0,0.381120884,0.003703704,0.955351213,0.803188349,1,0.133174751,2229.010207,-714.1750213,CivilWar/015106_20150524_110000.wav
157,0.003148986,39.24528764,0.956713744,0.96269888,0.92102725,1773.080883,0.954545,6.22E-12,-0.990490171,0,1,0.509483595,0.003703704,1,0.838220823,1,0.202013605,3944.325703,-835.3509894,CivilWar/015106_20150524_120000.wav
158,0.003148986,43.02418216,0.965803577,0.960817231,0.927960718,1815.504397,0.954545,7.36E-12,-0.98902763,0,2,0.530733269,0.003703704,0.996932621,0.929935052,1,0.232376798,3870.17918,-1109.045702,CivilWar/015106_20150524_130000.wav
159,0.011415076,37.50840565,0.967135358,0.962367311,0.930739454,1820.569541,0.954545,7.37E-12,-0.991259684,0,0,0.679243742,0.003703704,1,0.965951584,1,0.550180583,6509.295822,-1369.905055,CivilWar/015106_20150524_140000.wav
160,0.007282031,39.18688033,0.961614137,0.961603606,0.924691622,1781.552124,0.954545,6.76E-12,-0.99239965,0,0,0.57704293,0.003703704,1,0.941350128,1,0.251413902,4849.284241,-1259.292811,CivilWar/015106_20150524_150000.wav
161,0.004920291,35.51998847,0.961933066,0.96108376,0.924498247,1770.564607,0.954545,6.83E-12,-0.989450082,0,0,0.579409157,0.003703704,1,0.891163157,1,0.306472129,4742.851292,1149.064635,CivilWar/015106_20150524_160000.wav
162,0.001771305,38.4245017,0.960537607,0.964928268,0.92684989,1701.374018,0.954545,6.72E-12,-0.977619981,0,2,0.223408955,0.003703704,0.764962035,0.532572328,1,0.093558324,1292.122805,2196.246397,CivilWar/015106_20150524_170000.wav
163,0.000393623,40.40671849,0.965275115,0.964024849,0.930549197,1757.09216,0.954545,7.19E-12,-0.828943207,0,2,0.067594349,0.003703704,0.652307309,0.293839795,1,0.069659864,672.8153454,1063.655652,CivilWar/015106_20150524_180000.wav
164,0.005313915,47.32546883,0.965871684,0.960762403,0.9279732,1782.89641,0.952029,7.37E-12,-0.373778086,0.116233,9,0.200325055,0.003703704,0.728368187,0.530210588,1,0.086028029,1112.912889,762.9084424,CivilWar/015106_20150524_190000.wav
165,0.002164928,39.86893558,0.963167115,0.965031276,0.92948639,1715.000924,0.954545,6.92E-12,-0.979479988,0,2,0.270298699,0.003703704,0.839205042,0.626451486,1,0.101782806,1495.850783,1580.595479,CivilWar/015106_20150524_200000.wav
166,0.067506396,41.54578309,0.980165262,0.96871127,0.949497136,1687.493935,0.947321,9.78E-12,-0.903924336,0.20768,3,0,0,0.013851468,0.000590435,0,0,193.0010331,36.94862132,CivilWar/015106_20150524_210000.wav
167,0.167486715,43.29232567,0.979004752,0.967237142,0.946929759,1810.760908,0.894564,9.55E-12,-0.617011505,1.001779,5,0,0.003703704,0.228731792,0.008659713,0.014285714,0.023219955,210.4667821,136.0158639,CivilWar/015106_20150524_220000.wav
168,0.001771305,44.89981378,0.969703616,0.967024935,0.937727577,1909.119049,0.954411,7.85E-12,-0.777095612,0.011126,5,0.088498795,0.003703704,0.554304585,0.321590238,1,0.068668768,684.504171,464.7582534,CivilWar/015106_20150524_230000.wav
169,0.006691596,40.06785917,0.973926252,0.96642333,0.941225052,1702.131173,0.954545,8.64E-12,-0.884112374,0,3,0,0.003703704,0.337147319,0.095256839,0.178571429,0.063158277,357.163663,372.0318038,CivilWar/015106_20150525_000000.wav
170,0.000393623,41.72185662,0.960358081,0.965978306,0.927685072,1788.843509,0.954545,6.93E-12,-0.835990129,0,2,0.027938666,0.003703704,0.682380256,0.21688644,0.657142857,0.080260278,645.7082546,217.6902972,CivilWar/015106_20150525_010000.wav
171,0.001574493,36.77669992,0.956730797,0.963801192,0.922098283,1779.865156,0.954545,5.80E-12,-0.983416543,0,1,0.369501514,0.003703704,0.88491049,0.669356426,1,0.16534333,2274.858738,1997.054532,CivilWar/015106_20150525_020000.wav
172,0.001574493,39.35705839,0.953603972,0.96561741,0.920816597,1724.724469,0.954545,5.77E-12,-0.981123292,0,2,0.26380363,0.003703704,0.877318423,0.516827396,1,0.128258253,1637.736909,713.6753066,CivilWar/015106_20150525_030000.wav
173,0.000590435,38.86422477,0.962687386,0.968611661,0.932470228,1704.944214,0.954545,6.91E-12,-0.887212123,0,2,0,0.003703704,0.573723977,0.187561504,0.607142857,0.076489262,527.3276435,-36.61179451,CivilWar/015106_20150525_040000.wav
174,0.000393623,41.34056753,0.950904714,0.967051657,0.919573979,1730.258091,0.954545,5.44E-12,-0.981025397,0,1,0.26420018,0.003703704,0.93369485,0.496949419,1,0.131764028,1704.362878,808.3745315,CivilWar/015106_20150525_050000.wav
175,0.007675654,51.23466583,0.959178617,0.963699345,0.924359805,1744.58892,0.949902,6.13E-12,-0.813430848,0.199236,6,0.206584088,0.003703704,0.712861469,0.480810864,1,0.100012228,1196.309005,445.1727671,CivilWar/015106_20150525_060000.wav
176,0.02145247,63.02312086,0.960784481,0.952559876,0.915204746,1758.709895,0.920274,6.78E-12,0.046436319,0.758078,7,0.470865953,0.003703704,0.974851646,0.824444007,1,0.199850903,3215.294574,837.8834463,CivilWar/015106_20150525_070000.wav
177,0.002558551,45.73854952,0.95665728,0.965004972,0.923179032,1726.940857,0.954545,6.01E-12,-0.986387668,0,3,0.474446922,0.003703704,0.981720096,0.780358197,1,0.212954179,3408.034775,2187.13262,CivilWar/015106_20150525_080000.wav
178,0.008069278,43.50089878,0.964794445,0.961392827,0.927546459,1787.934651,0.954545,7.05E-12,-0.989214532,0,1,0.618075025,0.003703704,1,0.977563472,1,0.339621155,5380.624094,-1147.369791,CivilWar/015106_20150525_090000.wav
179,0.047234796,47.67688621,0.96981018,0.956083965,0.927219962,1861.949594,0.954359,7.77E-12,-0.985279974,0.014725,6,0.777178023,0.003703704,1,0.99409565,0.692857143,1,9129.393323,-2632.521313,CivilWar/015106_20150525_100000.wav
180,0.000787247,46.27258323,0.968093197,0.963191116,0.932458767,1765.543463,0.954545,7.53E-12,-0.987016647,0,0,0.504371379,0.003703704,0.995551133,0.916945483,1,0.218162294,3344.626781,-827.2784451,CivilWar/015106_20150525_110000.wav
181,0.001771305,51.8897553,0.971304952,0.966248136,0.938521599,1818.576498,0.954463,8.09E-12,-0.97232348,0.00726,5,0.505884623,0.003703704,0.977835573,0.943711868,1,0.22466722,3226.964211,-646.9875025,CivilWar/015106_20150525_120000.wav
182,0.015154497,47.9240444,0.96746512,0.964255918,0.932883967,1847.796914,0.954545,7.46E-12,-0.990245856,0,1,0.699057166,0.003703704,1,0.978153907,1,0.580126354,6988.644513,-1513.911813,CivilWar/015106_20150525_130000.wav
183,0.005707538,40.81206932,0.96760554,0.963446895,0.932236552,1843.576195,0.954545,7.51E-12,-0.990837709,0,0,0.637511006,0.003703704,1,0.974020862,1,0.433278573,5590.934354,-497.7091004,CivilWar/015106_20150525_140000.wav
184,0.010234206,38.86913098,0.966396842,0.96120686,0.928907274,1801.991915,0.954545,7.32E-12,-0.990939203,0,0,0.66449015,0.003703704,1,0.970675064,1,0.512424755,6256.174617,-1336.120453,CivilWar/015106_20150525_150000.wav
185,0.043495375,38.64803227,0.968741854,0.959385529,0.929396916,1829.996339,0.954545,7.58E-12,-0.990471859,0,0,0.772079469,0.003703704,1,0.995079709,0.735714286,1,9060.918783,-1250.246474,CivilWar/015106_20150525_160000.wav
186,0.009053336,36.24513003,0.970689879,0.961646584,0.933460606,1815.590261,0.954545,7.95E-12,-0.991327247,0,0,0.68354041,0.003703704,1,0.990356229,1,0.610389747,6380.098266,-1112.369157,CivilWar/015106_20150525_170000.wav
187,0.006691596,39.27413077,0.9580325,0.959765901,0.919486926,1761.97173,0.954545,6.05E-12,-0.99014306,0,0,0.610448252,0.003703704,1,0.921668963,1,0.267439242,5576.713122,-1519.9865,CivilWar/015106_20150525_180000.wav
188,0.002164928,42.13133758,0.965192182,0.9664619,0.93282147,1710.106916,0.954545,7.02E-12,-0.969320677,0,1,0.221522491,0.003703704,0.661270666,0.553827987,1,0.098427949,1182.177401,-186.7154815,CivilWar/015106_20150525_190000.wav
189,0.006297973,66.79395171,0.968490053,0.969583581,0.939032054,1927.620717,0.92617,7.63E-12,-0.469823128,0.681465,3,0.58795307,0.003703704,1,0.963786656,1,0.317461462,4610.099093,-1621.383115,CivilWar/015106_20150525_200000.wav
190,0.005117103,48.72145016,0.965116821,0.951796075,0.918594402,1781.693622,0.94048,7.14E-12,-0.513091341,0.417711,3,0.450596367,0.003703704,0.925402985,0.835071836,1,0.200827906,2813.85312,-556.9068399,CivilWar/015106_20150525_210000.wav
191,0.003148986,40.36332828,0.965221039,0.964522906,0.930977802,1738.57865,0.954545,7.24E-12,-0.982839107,0,1,0.363095343,0.003703704,0.9192596,0.778586892,1,0.128653859,2059.063451,-56.04302008,CivilWar/015106_20150525_220000.wav
192,0.17161976,40.19764131,0.979728328,0.967380135,0.947769723,1711.299423,0.94438,9.70E-12,-0.746131571,0.35813,2,0,0,0.063626933,0.00236174,0,0,163.894147,-16.18256233,CivilWar/015106_20150525_230000.wav
193,0.000393623,39.71973716,0.957868884,0.965521567,0.924843066,1725.043653,0.954545,6.65E-12,-0.929323504,0,1,0.101292558,0.003703704,0.78111546,0.308994292,0.935714286,0.092170812,878.5847129,-0.458447786,CivilWar/015106_20150526_000000.wav
194,0.000590435,39.02938944,0.956062848,0.968822576,0.926255271,1721.661789,0.954545,5.84E-12,-0.759068745,0,2,0,0.003703704,0.559375648,0.146034245,0.442857143,0.074528564,444.3358784,-40.42678262,CivilWar/015106_20150526_010000.wav
195,0.001377682,36.77393363,0.968473939,0.969369119,0.938808729,1693.793349,0.954545,7.81E-12,-0.882641661,0,3,0,0.003703704,0.423893529,0.078134226,0.135714286,0.075770378,328.5537267,-15.80789071,CivilWar/015106_20150526_020000.wav
196,0.099389884,37.95921623,0.980303098,0.969448658,0.950353523,1718.488529,0.923932,9.75E-12,-0.730955825,0.697014,2,0,0,0.054854741,0.000393623,0,0,141.8069139,26.66548498,CivilWar/015106_20150526_030000.wav
197,0.000787247,39.84025903,0.969278885,0.969177268,0.939403061,1688.773884,0.95353,7.94E-12,-0.850937365,0.056595,4,0,0.003703704,0.435321334,0.076756544,0.192857143,0.055039893,330.8135257,115.9968108,CivilWar/015106_20150526_040000.wav
198,0.000787247,40.65767765,0.956878958,0.966449018,0.92477473,1727.692833,0.954545,6.43E-12,-0.974146201,0,1,0.190079396,0.003703704,0.840865446,0.445187955,1,0.093851365,1230.265453,654.8602326,CivilWar/015106_20150526_050000.wav
199,0.137177721,79.65295079,0.95429883,0.96302679,0.919015339,2473.4784,0.845462,6.06E-12,0.819485878,1.455379,11,0.36394967,0.003703704,0.937584179,0.725447747,1,0.108431289,2394.386804,-619.021368,CivilWar/015106_20150526_060000.wav
200,0.087384373,47.78739973,0.980318037,0.962254826,0.943315762,1704.742779,0.939991,9.80E-12,-0.887126029,0.359435,5,0.01179537,0.003703704,0.221067184,0.165912222,0.057142857,0.026122449,437.3857281,128.7187718,CivilWar/015106_20150526_070000.wav
201,0.000787247,43.80399605,0.962475949,0.963349212,0.927200447,1698.925906,0.954545,7.27E-12,-0.972202643,0,2,0.218274081,0.003703704,0.836938476,0.530013777,1,0.096670832,1280.651602,-23.8198469,CivilWar/015106_20150526_080000.wav
202,0.000393623,42.52758348,0.970624125,0.963373055,0.935073128,1695.211874,0.954545,8.13E-12,-0.973424548,0,2,0.249538268,0.003703704,0.796900586,0.697697304,1,0.079240125,1256.375448,898.2044447,CivilWar/015106_20150526_090000.wav
203,0.00354261,46.24771565,0.974078204,0.964103105,0.939111821,1731.524673,0.953692,8.66E-12,-0.94105262,0.039364,8,0.107931166,0.003703704,0.524537928,0.388309388,1,0.063496543,695.6636111,-49.61720505,CivilWar/015106_20150526_100000.wav
204,0.002558551,36.62892775,0.963507869,0.964285844,0.929096999,1711.991703,0.954545,6.86E-12,-0.989207168,0,0,0.55078967,0.003703704,1,0.893524897,1,0.306156342,4203.007007,4525.173242,CivilWar/015106_20150526_110000.wav
205,0.029324936,56.40300388,0.958979639,0.953860761,0.914733047,1796.93912,0.946068,6.23E-12,-0.801707275,0.28073,9,0.642113931,0.003703704,1,0.940956505,1,0.319196977,6229.678763,2905.64451,CivilWar/015106_20150526_120000.wav
206,0.027947254,35.77695578,0.962867204,0.961027519,0.92534188,1783.948966,0.954545,6.60E-12,-0.989910421,0,0,0.721681593,0.003703704,1,0.968510136,1,0.487180935,7956.19876,1980.529753,CivilWar/015106_20150526_130000.wav
207,0.001377682,48.03586327,0.96689467,0.964590192,0.932657115,1832.734379,0.954545,7.61E-12,-0.981289586,0,4,0.450347179,0.003703704,1,0.871088368,1,0.188918438,2849.039603,-597.88962,CivilWar/015106_20150526_140000.wav
208,0.110608148,57.01851518,0.97991343,0.960223931,0.940936326,1836.099444,0.885252,9.71E-12,-0.723108316,1.168792,7,0.06944625,0.003703704,0.439618004,0.342452273,0.335714286,0.035570994,547.0487029,66.53989673,CivilWar/015106_20150526_150000.wav
209,0.015154497,56.98763259,0.965574187,0.956187745,0.923270204,1790.734108,0.943336,7.25E-12,-0.564385518,0.365254,4,0.3965608,0.003703704,0.939280384,0.846683724,1,0.135713224,2325.171231,600.2262735,CivilWar/015106_20150526_160000.wav
210,0.000393623,45.01219921,0.959631999,0.96201869,0.923183919,1730.768776,0.954545,6.52E-12,-0.985525917,0,1,0.419238269,0.003703704,0.976859519,0.811060815,1,0.154296599,2761.733984,-501.811463,CivilWar/015106_20150526_170000.wav
211,0.013973627,46.99690627,0.964080483,0.961886533,0.927336033,1925.192504,0.954545,6.94E-12,-0.987475222,0,1,0.654603844,0.003703704,1,0.971462311,1,0.425667447,6222.188045,-1849.678417,CivilWar/015106_20150526_180000.wav
212,0.001377682,46.64508953,0.94830048,0.964279632,0.914426838,1873.906582,0.954545,5.64E-12,-0.947125551,0,1,0.333049977,0.003703704,1,0.619956701,1,0.120284765,2392.474667,929.5159925,CivilWar/015106_20150526_190000.wav
213,0.093682346,39.77983734,0.972249459,0.959942585,0.93330366,1879.34933,0.954545,7.96E-12,-0.991325739,0,0,0.85660265,0.003703704,0.782843185,0.956307813,0.364285714,1,11839.4592,-4179.429286,CivilWar/015106_20150526_200000.wav
214,0.002952175,41.80214666,0.957462956,0.964276365,0.923258898,1792.238963,0.954545,6.26E-12,-0.991037284,0,0,0.522808511,0.003703704,1,0.830348357,1,0.249779323,4066.513312,-1870.119188,CivilWar/015106_20150526_210000.wav
215,0.000590435,44.84978018,0.972217118,0.962710354,0.935963485,1896.261382,0.954545,8.23E-12,-0.89617424,0,3,0.376818377,0.003703704,0.838871851,0.842550679,1,0.134038326,1947.129576,-530.9685992,CivilWar/015106_20150526_220000.wav
216,0.000590435,39.91009049,0.973811937,0.966316125,0.941010177,1723.841656,0.954545,8.47E-12,-0.848302662,0,3,0.004450166,0.003703704,0.437105712,0.205274552,0.442857143,0.055428279,467.9845542,-153.0750139,CivilWar/015106_20150526_230000.wav